settimana,album,uscita,categoria,posizione
2001-01-13,Hybrid Theory,2000-10-24,studio,81
2001-01-20,Hybrid Theory,2000-10-24,studio,44
2001-01-27,Hybrid Theory,2000-10-24,studio,21
2001-02-03,Hybrid Theory,2000-10-24,studio,18
2001-02-10,Hybrid Theory,2000-10-24,studio,18
2001-02-17,Hybrid Theory,2000-10-24,studio,18
2001-02-24,Hybrid Theory,2000-10-24,studio,23
2001-03-03,Hybrid Theory,2000-10-24,studio,18
2001-03-10,Hybrid Theory,2000-10-24,studio,34
2001-03-17,Hybrid Theory,2000-10-24,studio,38
2001-03-24,Hybrid Theory,2000-10-24,studio,40
2001-03-31,Hybrid Theory,2000-10-24,studio,42
2001-04-07,Hybrid Theory,2000-10-24,studio,31
2001-04-14,Hybrid Theory,2000-10-24,studio,26
2001-04-21,Hybrid Theory,2000-10-24,studio,22
2001-04-28,Hybrid Theory,2000-10-24,studio,9
2001-05-05,Hybrid Theory,2000-10-24,studio,10
2001-05-12,Hybrid Theory,2000-10-24,studio,9
2001-05-19,Hybrid Theory,2000-10-24,studio,10
2001-05-26,Hybrid Theory,2000-10-24,studio,18
2001-06-02,Hybrid Theory,2000-10-24,studio,16
2001-06-09,Hybrid Theory,2000-10-24,studio,15
2001-06-16,Hybrid Theory,2000-10-24,studio,16
2001-06-23,Hybrid Theory,2000-10-24,studio,22
2001-06-30,Hybrid Theory,2000-10-24,studio,20
2001-07-07,Hybrid Theory,2000-10-24,studio,17
2001-07-14,Hybrid Theory,2000-10-24,studio,14
2001-07-21,Hybrid Theory,2000-10-24,studio,15
2001-07-28,Hybrid Theory,2000-10-24,studio,14
2001-08-04,Hybrid Theory,2000-10-24,studio,16
2001-08-11,Hybrid Theory,2000-10-24,studio,16
2001-08-18,Hybrid Theory,2000-10-24,studio,18
2001-08-25,Hybrid Theory,2000-10-24,studio,21
2001-09-01,Hybrid Theory,2000-10-24,studio,21
2001-09-08,Hybrid Theory,2000-10-24,studio,30
2001-09-15,Hybrid Theory,2000-10-24,studio,23
2001-09-22,Hybrid Theory,2000-10-24,studio,21
2001-09-29,Hybrid Theory,2000-10-24,studio,20
2001-10-06,Hybrid Theory,2000-10-24,studio,15
2001-10-13,Hybrid Theory,2000-10-24,studio,15
2001-10-20,Hybrid Theory,2000-10-24,studio,10
2001-10-27,Hybrid Theory,2000-10-24,studio,8
2001-11-03,Hybrid Theory,2000-10-24,studio,4
2001-11-10,Hybrid Theory,2000-10-24,studio,9
2001-11-17,Hybrid Theory,2000-10-24,studio,14
2001-11-24,Hybrid Theory,2000-10-24,studio,17
2001-12-01,Hybrid Theory,2000-10-24,studio,20
2001-12-08,Hybrid Theory,2000-10-24,studio,22
2001-12-15,Hybrid Theory,2000-10-24,studio,22
2001-12-22,Hybrid Theory,2000-10-24,studio,24
2001-12-29,Hybrid Theory,2000-10-24,studio,24
2002-01-05,Hybrid Theory,2000-10-24,studio,19
2002-01-12,Hybrid Theory,2000-10-24,studio,13
2002-01-19,Hybrid Theory,2000-10-24,studio,14
2002-01-26,Hybrid Theory,2000-10-24,studio,13
2002-02-02,Hybrid Theory,2000-10-24,studio,15
2002-02-09,Hybrid Theory,2000-10-24,studio,21
2002-02-16,Hybrid Theory,2000-10-24,studio,31
2002-02-23,Hybrid Theory,2000-10-24,studio,39
2002-03-02,Hybrid Theory,2000-10-24,studio,31
2002-03-09,Hybrid Theory,2000-10-24,studio,32
2002-03-16,Hybrid Theory,2000-10-24,studio,36
2002-03-23,Hybrid Theory,2000-10-24,studio,38
2002-03-30,Hybrid Theory,2000-10-24,studio,46
2002-04-06,Hybrid Theory,2000-10-24,studio,57
2002-04-13,Hybrid Theory,2000-10-24,studio,56
2002-04-20,Hybrid Theory,2000-10-24,studio,65
2002-04-27,Hybrid Theory,2000-10-24,studio,62
2002-05-04,Hybrid Theory,2000-10-24,studio,53
2002-05-11,Hybrid Theory,2000-10-24,studio,52
2002-05-18,Hybrid Theory,2000-10-24,studio,56
2002-05-25,Hybrid Theory,2000-10-24,studio,64
2002-06-01,Hybrid Theory,2000-10-24,studio,62
2002-06-08,Hybrid Theory,2000-10-24,studio,65
2002-06-15,Hybrid Theory,2000-10-24,studio,74
2002-06-22,Hybrid Theory,2000-10-24,studio,95
2002-06-29,Hybrid Theory,2000-10-24,studio,89
2002-07-20,Hybrid Theory,2000-10-24,studio,93
2002-07-27,Hybrid Theory,2000-10-24,studio,78
2002-08-03,Hybrid Theory,2000-10-24,studio,72
2002-08-10,Hybrid Theory,2000-10-24,studio,71
2002-08-17,Hybrid Theory,2000-10-24,studio,81
2003-07-19,Hybrid Theory,2000-10-24,studio,85
2003-07-26,Hybrid Theory,2000-10-24,studio,75
2003-08-02,Hybrid Theory,2000-10-24,studio,77
2003-08-09,Hybrid Theory,2000-10-24,studio,93
2003-08-16,Hybrid Theory,2000-10-24,studio,95
2003-08-30,Hybrid Theory,2000-10-24,studio,99
2003-09-27,Hybrid Theory,2000-10-24,studio,91
2003-10-04,Hybrid Theory,2000-10-24,studio,81
2003-10-11,Hybrid Theory,2000-10-24,studio,84
2005-04-02,Hybrid Theory,2000-10-24,studio,91
2005-04-09,Hybrid Theory,2000-10-24,studio,100
2007-05-05,Hybrid Theory,2000-10-24,studio,98
2007-05-12,Hybrid Theory,2000-10-24,studio,90
2007-05-19,Hybrid Theory,2000-10-24,studio,68
2007-05-26,Hybrid Theory,2000-10-24,studio,65
2007-06-02,Hybrid Theory,2000-10-24,studio,66
2007-06-09,Hybrid Theory,2000-10-24,studio,76
2007-06-16,Hybrid Theory,2000-10-24,studio,75
2007-06-23,Hybrid Theory,2000-10-24,studio,81
2007-06-30,Hybrid Theory,2000-10-24,studio,91
2007-08-04,Hybrid Theory,2000-10-24,studio,98
2007-08-11,Hybrid Theory,2000-10-24,studio,99
2007-08-18,Hybrid Theory,2000-10-24,studio,93
2007-08-25,Hybrid Theory,2000-10-24,studio,97
2008-03-22,Hybrid Theory,2000-10-24,studio,96
2008-03-29,Hybrid Theory,2000-10-24,studio,91
2008-04-05,Hybrid Theory,2000-10-24,studio,79
2008-04-12,Hybrid Theory,2000-10-24,studio,85
2008-04-19,Hybrid Theory,2000-10-24,studio,89
2008-04-26,Hybrid Theory,2000-10-24,studio,94
2014-03-15,Hybrid Theory,2000-10-24,studio,94
2014-06-14,Hybrid Theory,2000-10-24,studio,92
2014-06-21,Hybrid Theory,2000-10-24,studio,75
2014-06-28,Hybrid Theory,2000-10-24,studio,43
2014-07-05,Hybrid Theory,2000-10-24,studio,58
2014-07-12,Hybrid Theory,2000-10-24,studio,88
2014-07-19,Hybrid Theory,2000-10-24,studio,82
2014-08-02,Hybrid Theory,2000-10-24,studio,69
2014-08-09,Hybrid Theory,2000-10-24,studio,53
2014-08-16,Hybrid Theory,2000-10-24,studio,61
2014-08-23,Hybrid Theory,2000-10-24,studio,56
2014-08-30,Hybrid Theory,2000-10-24,studio,92
2016-03-24,Hybrid Theory,2000-10-24,studio,87
2016-07-07,Hybrid Theory,2000-10-24,studio,81
2016-07-14,Hybrid Theory,2000-10-24,studio,75
2016-09-01,Hybrid Theory,2000-10-24,studio,70
2017-08-03,Hybrid Theory,2000-10-24,studio,4
2017-08-10,Hybrid Theory,2000-10-24,studio,7
2017-08-17,Hybrid Theory,2000-10-24,studio,11
2017-08-24,Hybrid Theory,2000-10-24,studio,21
2017-08-31,Hybrid Theory,2000-10-24,studio,24
2017-09-07,Hybrid Theory,2000-10-24,studio,29
2017-09-14,Hybrid Theory,2000-10-24,studio,41
2017-09-21,Hybrid Theory,2000-10-24,studio,40
2017-09-28,Hybrid Theory,2000-10-24,studio,51
2017-10-05,Hybrid Theory,2000-10-24,studio,51
2017-10-12,Hybrid Theory,2000-10-24,studio,55
2017-10-19,Hybrid Theory,2000-10-24,studio,61
2017-10-26,Hybrid Theory,2000-10-24,studio,65
2017-11-02,Hybrid Theory,2000-10-24,studio,84
2017-11-09,Hybrid Theory,2000-10-24,studio,69
2017-11-16,Hybrid Theory,2000-10-24,studio,89
2020-10-22,Hybrid Theory,2000-10-24,studio,47
2024-09-19,Hybrid Theory,2000-10-24,studio,46
2024-09-26,Hybrid Theory,2000-10-24,studio,58
2024-10-03,Hybrid Theory,2000-10-24,studio,68
2024-10-10,Hybrid Theory,2000-10-24,studio,76
2024-10-17,Hybrid Theory,2000-10-24,studio,83
2024-10-24,Hybrid Theory,2000-10-24,studio,85
2024-10-31,Hybrid Theory,2000-10-24,studio,98
2024-11-07,Hybrid Theory,2000-10-24,studio,98
2024-11-14,Hybrid Theory,2000-10-24,studio,81
2024-11-21,Hybrid Theory,2000-10-24,studio,74
2024-11-28,Hybrid Theory,2000-10-24,studio,71
2024-12-05,Hybrid Theory,2000-10-24,studio,86
2024-12-12,Hybrid Theory,2000-10-24,studio,76
2024-12-19,Hybrid Theory,2000-10-24,studio,83
2024-12-26,Hybrid Theory,2000-10-24,studio,64
2025-01-02,Hybrid Theory,2000-10-24,studio,58
2025-01-09,Hybrid Theory,2000-10-24,studio,62
2025-01-16,Hybrid Theory,2000-10-24,studio,95
2025-07-10,Hybrid Theory,2000-10-24,studio,97
2025-08-14,Hybrid Theory,2000-10-24,studio,87
2025-08-21,Hybrid Theory,2000-10-24,studio,95
2025-08-28,Hybrid Theory,2000-10-24,studio,96
2025-09-11,Hybrid Theory,2000-10-24,studio,95
2025-09-18,Hybrid Theory,2000-10-24,studio,99
2025-10-23,Hybrid Theory,2000-10-24,studio,98
2025-10-30,Hybrid Theory,2000-10-24,studio,96
2025-11-06,Hybrid Theory,2000-10-24,studio,94
2025-11-20,Hybrid Theory,2000-10-24,studio,86
2025-11-27,Hybrid Theory,2000-10-24,studio,89
2025-12-04,Hybrid Theory,2000-10-24,studio,91
2025-12-11,Hybrid Theory,2000-10-24,studio,71
2025-12-18,Hybrid Theory,2000-10-24,studio,60
2025-12-25,Hybrid Theory,2000-10-24,studio,56
2026-01-01,Hybrid Theory,2000-10-24,studio,49
